Planning Area,Subzone,Age Group,Floor Area,2024
Tengah,Park,50 - 54,> 60 - 80,-
Tengah,Park,50 - 54,> 80 - 100,-
Tengah,Park,50 - 54,> 100 - 120,-
Tengah,Park,50 - 54,> 120,-
Tengah,Park,55 - 59,Total*,-
Tengah,Park,55 - 59,≤ 60,-
Tengah,Park,55 - 59,> 60 - 80,-
Tengah,Park,55 - 59,> 80 - 100,-
Tengah,Park,55 - 59,> 100 - 120,-
Tengah,Park,55 - 59,> 120,-
Tengah,Park,60 - 64,Total*,-
Tengah,Park,60 - 64,≤ 60,-
Tengah,Park,60 - 64,> 60 - 80,-
Tengah,Park,60 - 64,> 80 - 100,-
Tengah,Park,60 - 64,> 100 - 120,-
Tengah,Park,60 - 64,> 120,-
Tengah,Park,65 - 69,Total*,-
Tengah,Park,65 - 69,≤ 60,-
Tengah,Park,65 - 69,> 60 - 80,-
Tengah,Park,65 - 69,> 80 - 100,-
Tengah,Park,65 - 69,> 100 - 120,-
Tengah,Park,65 - 69,> 120,-
Tengah,Park,70 - 74,Total*,-
Tengah,Park,70 - 74,≤ 60,-
Tengah,Park,70 - 74,> 60 - 80,-
Tengah,Park,70 - 74,> 80 - 100,-
Tengah,Park,70 - 74,> 100 - 120,-
Tengah,Park,70 - 74,> 120,-
Tengah,Park,75 - 79,Total*,-
Tengah,Park,75 - 79,≤ 60,-
Tengah,Park,75 - 79,> 60 - 80,-
Tengah,Park,75 - 79,> 80 - 100,-
Tengah,Park,75 - 79,> 100 - 120,-
Tengah,Park,75 - 79,> 120,-
Tengah,Park,80 - 84,Total*,-
Tengah,Park,80 - 84,≤ 60,-
Tengah,Park,80 - 84,> 60 - 80,-
Tengah,Park,80 - 84,> 80 - 100,-
Tengah,Park,80 - 84,> 100 - 120,-
Tengah,Park,80 - 84,> 120,-
Tengah,Park,85 - 89,Total*,-
Tengah,Park,85 - 89,≤ 60,-
Tengah,Park,85 - 89,> 60 - 80,-
Tengah,Park,85 - 89,> 80 - 100,-
Tengah,Park,85 - 89,> 100 - 120,-
Tengah,Park,85 - 89,> 120,-
Tengah,Park,90 & Over,Total*,-
Tengah,Park,90 & Over,≤ 60,-
Tengah,Park,90 & Over,> 60 - 80,-
Tengah,Park,90 & Over,> 80 - 100,-
Tengah,Park,90 & Over,> 100 - 120,-
Tengah,Park,90 & Over,> 120,-
Tengah,Plantation,Total,Total*,7700
Tengah,Plantation,Total,≤ 60,1540
Tengah,Plantation,Total,> 60 - 80,690
Tengah,Plantation,Total,> 80 - 100,2900
Tengah,Plantation,Total,> 100 - 120,2580
Tengah,Plantation,Total,> 120,-
Tengah,Plantation,0 - 4,Total*,830
Tengah,Plantation,0 - 4,≤ 60,20
Tengah,Plantation,0 - 4,> 60 - 80,60
Tengah,Plantation,0 - 4,> 80 - 100,430
Tengah,Plantation,0 - 4,> 100 - 120,320
Tengah,Plantation,0 - 4,> 120,-
Tengah,Plantation,5 - 9,Total*,310
Tengah,Plantation,5 - 9,≤ 60,10
Tengah,Plantation,5 - 9,> 60 - 80,40
Tengah,Plantation,5 - 9,> 80 - 100,130
Tengah,Plantation,5 - 9,> 100 - 120,130
Tengah,Plantation,5 - 9,> 120,-
Tengah,Plantation,10 - 14,Total*,270
Tengah,Plantation,10 - 14,≤ 60,10
Tengah,Plantation,10 - 14,> 60 - 80,30
Tengah,Plantation,10 - 14,> 80 - 100,90
Tengah,Plantation,10 - 14,> 100 - 120,150
Tengah,Plantation,10 - 14,> 120,-
Tengah,Plantation,15 - 19,Total*,250
Tengah,Plantation,15 - 19,≤ 60,20
Tengah,Plantation,15 - 19,> 60 - 80,20
Tengah,Plantation,15 - 19,> 80 - 100,90
Tengah,Plantation,15 - 19,> 100 - 120,120
Tengah,Plantation,15 - 19,> 120,-
Tengah,Plantation,20 - 24,Total*,190
Tengah,Plantation,20 - 24,≤ 60,10
Tengah,Plantation,20 - 24,> 60 - 80,30
Tengah,Plantation,20 - 24,> 80 - 100,60
Tengah,Plantation,20 - 24,> 100 - 120,80
Tengah,Plantation,20 - 24,> 120,-
Tengah,Plantation,25 - 29,Total*,860
Tengah,Plantation,25 - 29,≤ 60,20
Tengah,Plantation,25 - 29,> 60 - 80,80
Tengah,Plantation,25 - 29,> 80 - 100,490
Tengah,Plantation,25 - 29,> 100 - 120,280
Tengah,Plantation,25 - 29,> 120,-
Tengah,Plantation,30 - 34,Total*,1620
Tengah,Plantation,30 - 34,≤ 60,30
Tengah,Plantation,30 - 34,> 60 - 80,90
Tengah,Plantation,30 - 34,> 80 - 100,840
Tengah,Plantation,30 - 34,> 100 - 120,660
Tengah,Plantation,30 - 34,> 120,-
Tengah,Plantation,35 - 39,Total*,810
Tengah,Plantation,35 - 39,≤ 60,190
Tengah,Plantation,35 - 39,> 60 - 80,50
Tengah,Plantation,35 - 39,> 80 - 100,300
Tengah,Plantation,35 - 39,> 100 - 120,270
Tengah,Plantation,35 - 39,> 120,-
Tengah,Plantation,40 - 44,Total*,620
Tengah,Plantation,40 - 44,≤ 60,270
Tengah,Plantation,40 - 44,> 60 - 80,50
Tengah,Plantation,40 - 44,> 80 - 100,130
Tengah,Plantation,40 - 44,> 100 - 120,180
Tengah,Plantation,40 - 44,> 120,-
Tengah,Plantation,45 - 49,Total*,390
Tengah,Plantation,45 - 49,≤ 60,120
Tengah,Plantation,45 - 49,> 60 - 80,30
Tengah,Plantation,45 - 49,> 80 - 100,110
Tengah,Plantation,45 - 49,> 100 - 120,130
Tengah,Plantation,45 - 49,> 120,-
Tengah,Plantation,50 - 54,Total*,360
Tengah,Plantation,50 - 54,≤ 60,110
Tengah,Plantation,50 - 54,> 60 - 80,40
Tengah,Plantation,50 - 54,> 80 - 100,90
Tengah,Plantation,50 - 54,> 100 - 120,110
Tengah,Plantation,50 - 54,> 120,-
Tengah,Plantation,55 - 59,Total*,280
Tengah,Plantation,55 - 59,≤ 60,140
Tengah,Plantation,55 - 59,> 60 - 80,30
Tengah,Plantation,55 - 59,> 80 - 100,50
Tengah,Plantation,55 - 59,> 100 - 120,50
Tengah,Plantation,55 - 59,> 120,-
Tengah,Plantation,60 - 64,Total*,290
Tengah,Plantation,60 - 64,≤ 60,180
Tengah,Plantation,60 - 64,> 60 - 80,50
Tengah,Plantation,60 - 64,> 80 - 100,30
Tengah,Plantation,60 - 64,> 100 - 120,30
Tengah,Plantation,60 - 64,> 120,-
Tengah,Plantation,65 - 69,Total*,290
Tengah,Plantation,65 - 69,≤ 60,200
Tengah,Plantation,65 - 69,> 60 - 80,50
Tengah,Plantation,65 - 69,> 80 - 100,20
Tengah,Plantation,65 - 69,> 100 - 120,20
Tengah,Plantation,65 - 69,> 120,-
Tengah,Plantation,70 - 74,Total*,180
Tengah,Plantation,70 - 74,≤ 60,120
Tengah,Plantation,70 - 74,> 60 - 80,20
Tengah,Plantation,70 - 74,> 80 - 100,20
Tengah,Plantation,70 - 74,> 100 - 120,20
Tengah,Plantation,70 - 74,> 120,-
Tengah,Plantation,75 - 79,Total*,80
Tengah,Plantation,75 - 79,≤ 60,50
Tengah,Plantation,75 - 79,> 60 - 80,10
Tengah,Plantation,75 - 79,> 80 - 100,10
Tengah,Plantation,75 - 79,> 100 - 120,10
Tengah,Plantation,75 - 79,> 120,-
Tengah,Plantation,80 - 84,Total*,30
Tengah,Plantation,80 - 84,≤ 60,20
Tengah,Plantation,80 - 84,> 60 - 80,-
Tengah,Plantation,80 - 84,> 80 - 100,10
Tengah,Plantation,80 - 84,> 100 - 120,10
Tengah,Plantation,80 - 84,> 120,-
Tengah,Plantation,85 - 89,Total*,30
Tengah,Plantation,85 - 89,≤ 60,10
Tengah,Plantation,85 - 89,> 60 - 80,-
Tengah,Plantation,85 - 89,> 80 - 100,-
Tengah,Plantation,85 - 89,> 100 - 120,10
Tengah,Plantation,85 - 89,> 120,-
Tengah,Plantation,90 & Over,Total*,10
Tengah,Plantation,90 & Over,≤ 60,-
Tengah,Plantation,90 & Over,> 60 - 80,-
Tengah,Plantation,90 & Over,> 80 - 100,-
Tengah,Plantation,90 & Over,> 100 - 120,-
Tengah,Plantation,90 & Over,> 120,-
Tengah,Tengah Industrial Estate,Total,Total*,-
Tengah,Tengah Industrial Estate,Total,≤ 60,-
Tengah,Tengah Industrial Estate,Total,> 60 - 80,-
Tengah,Tengah Industrial Estate,Total,> 80 - 100,-
Tengah,Tengah Industrial Estate,Total,> 100 - 120,-
Tengah,Tengah Industrial Estate,Total,> 120,-
Tengah,Tengah Industrial Estate,0 - 4,Total*,-
Tengah,Tengah Industrial Estate,0 - 4,≤ 60,-
Tengah,Tengah Industrial Estate,0 - 4,> 60 - 80,-
Tengah,Tengah Industrial Estate,0 - 4,> 80 - 100,-
Tengah,Tengah Industrial Estate,0 - 4,> 100 - 120,-
Tengah,Tengah Industrial Estate,0 - 4,> 120,-
Tengah,Tengah Industrial Estate,5 - 9,Total*,-
Tengah,Tengah Industrial Estate,5 - 9,≤ 60,-
Tengah,Tengah Industrial Estate,5 - 9,> 60 - 80,-
Tengah,Tengah Industrial Estate,5 - 9,> 80 - 100,-
Tengah,Tengah Industrial Estate,5 - 9,> 100 - 120,-
Tengah,Tengah Industrial Estate,5 - 9,> 120,-
Tengah,Tengah Industrial Estate,10 - 14,Total*,-
Tengah,Tengah Industrial Estate,10 - 14,≤ 60,-
Tengah,Tengah Industrial Estate,10 - 14,> 60 - 80,-
Tengah,Tengah Industrial Estate,10 - 14,> 80 - 100,-
Tengah,Tengah Industrial Estate,10 - 14,> 100 - 120,-
Tengah,Tengah Industrial Estate,10 - 14,> 120,-
Tengah,Tengah Industrial Estate,15 - 19,Total*,-
Tengah,Tengah Industrial Estate,15 - 19,≤ 60,-
Tengah,Tengah Industrial Estate,15 - 19,> 60 - 80,-
Tengah,Tengah Industrial Estate,15 - 19,> 80 - 100,-
Tengah,Tengah Industrial Estate,15 - 19,> 100 - 120,-
Tengah,Tengah Industrial Estate,15 - 19,> 120,-
Tengah,Tengah Industrial Estate,20 - 24,Total*,-
Tengah,Tengah Industrial Estate,20 - 24,≤ 60,-
Tengah,Tengah Industrial Estate,20 - 24,> 60 - 80,-
Tengah,Tengah Industrial Estate,20 - 24,> 80 - 100,-
Tengah,Tengah Industrial Estate,20 - 24,> 100 - 120,-
Tengah,Tengah Industrial Estate,20 - 24,> 120,-
Tengah,Tengah Industrial Estate,25 - 29,Total*,-
Tengah,Tengah Industrial Estate,25 - 29,≤ 60,-
Tengah,Tengah Industrial Estate,25 - 29,> 60 - 80,-
Tengah,Tengah Industrial Estate,25 - 29,> 80 - 100,-
Tengah,Tengah Industrial Estate,25 - 29,> 100 - 120,-
Tengah,Tengah Industrial Estate,25 - 29,> 120,-
Tengah,Tengah Industrial Estate,30 - 34,Total*,-
Tengah,Tengah Industrial Estate,30 - 34,≤ 60,-
Tengah,Tengah Industrial Estate,30 - 34,> 60 - 80,-
Tengah,Tengah Industrial Estate,30 - 34,> 80 - 100,-
Tengah,Tengah Industrial Estate,30 - 34,> 100 - 120,-
Tengah,Tengah Industrial Estate,30 - 34,> 120,-
Tengah,Tengah Industrial Estate,35 - 39,Total*,-
Tengah,Tengah Industrial Estate,35 - 39,≤ 60,-
Tengah,Tengah Industrial Estate,35 - 39,> 60 - 80,-
Tengah,Tengah Industrial Estate,35 - 39,> 80 - 100,-
Tengah,Tengah Industrial Estate,35 - 39,> 100 - 120,-
Tengah,Tengah Industrial Estate,35 - 39,> 120,-
Tengah,Tengah Industrial Estate,40 - 44,Total*,-
Tengah,Tengah Industrial Estate,40 - 44,≤ 60,-
Tengah,Tengah Industrial Estate,40 - 44,> 60 - 80,-
Tengah,Tengah Industrial Estate,40 - 44,> 80 - 100,-
Tengah,Tengah Industrial Estate,40 - 44,> 100 - 120,-
Tengah,Tengah Industrial Estate,40 - 44,> 120,-
Tengah,Tengah Industrial Estate,45 - 49,Total*,-
Tengah,Tengah Industrial Estate,45 - 49,≤ 60,-
Tengah,Tengah Industrial Estate,45 - 49,> 60 - 80,-
Tengah,Tengah Industrial Estate,45 - 49,> 80 - 100,-
Tengah,Tengah Industrial Estate,45 - 49,> 100 - 120,-
Tengah,Tengah Industrial Estate,45 - 49,> 120,-
Tengah,Tengah Industrial Estate,50 - 54,Total*,-
Tengah,Tengah Industrial Estate,50 - 54,≤ 60,-
Tengah,Tengah Industrial Estate,50 - 54,> 60 - 80,-
Tengah,Tengah Industrial Estate,50 - 54,> 80 - 100,-
Tengah,Tengah Industrial Estate,50 - 54,> 100 - 120,-
Tengah,Tengah Industrial Estate,50 - 54,> 120,-
Tengah,Tengah Industrial Estate,55 - 59,Total*,-
Tengah,Tengah Industrial Estate,55 - 59,≤ 60,-
Tengah,Tengah Industrial Estate,55 - 59,> 60 - 80,-
Tengah,Tengah Industrial Estate,55 - 59,> 80 - 100,-
Tengah,Tengah Industrial Estate,55 - 59,> 100 - 120,-
Tengah,Tengah Industrial Estate,55 - 59,> 120,-
Tengah,Tengah Industrial Estate,60 - 64,Total*,-
Tengah,Tengah Industrial Estate,60 - 64,≤ 60,-
Tengah,Tengah Industrial Estate,60 - 64,> 60 - 80,-
Tengah,Tengah Industrial Estate,60 - 64,> 80 - 100,-
Tengah,Tengah Industrial Estate,60 - 64,> 100 - 120,-
Tengah,Tengah Industrial Estate,60 - 64,> 120,-
Tengah,Tengah Industrial Estate,65 - 69,Total*,-
Tengah,Tengah Industrial Estate,65 - 69,≤ 60,-
Tengah,Tengah Industrial Estate,65 - 69,> 60 - 80,-
Tengah,Tengah Industrial Estate,65 - 69,> 80 - 100,-
Tengah,Tengah Industrial Estate,65 - 69,> 100 - 120,-
Tengah,Tengah Industrial Estate,65 - 69,> 120,-
Tengah,Tengah Industrial Estate,70 - 74,Total*,-
Tengah,Tengah Industrial Estate,70 - 74,≤ 60,-
Tengah,Tengah Industrial Estate,70 - 74,> 60 - 80,-
Tengah,Tengah Industrial Estate,70 - 74,> 80 - 100,-
Tengah,Tengah Industrial Estate,70 - 74,> 100 - 120,-
Tengah,Tengah Industrial Estate,70 - 74,> 120,-
Tengah,Tengah Industrial Estate,75 - 79,Total*,-
Tengah,Tengah Industrial Estate,75 - 79,≤ 60,-
Tengah,Tengah Industrial Estate,75 - 79,> 60 - 80,-
Tengah,Tengah Industrial Estate,75 - 79,> 80 - 100,-
Tengah,Tengah Industrial Estate,75 - 79,> 100 - 120,-
Tengah,Tengah Industrial Estate,75 - 79,> 120,-
Tengah,Tengah Industrial Estate,80 - 84,Total*,-
Tengah,Tengah Industrial Estate,80 - 84,≤ 60,-
Tengah,Tengah Industrial Estate,80 - 84,> 60 - 80,-
Tengah,Tengah Industrial Estate,80 - 84,> 80 - 100,-
Tengah,Tengah Industrial Estate,80 - 84,> 100 - 120,-
Tengah,Tengah Industrial Estate,80 - 84,> 120,-
Tengah,Tengah Industrial Estate,85 - 89,Total*,-
Tengah,Tengah Industrial Estate,85 - 89,≤ 60,-
Tengah,Tengah Industrial Estate,85 - 89,> 60 - 80,-
Tengah,Tengah Industrial Estate,85 - 89,> 80 - 100,-
Tengah,Tengah Industrial Estate,85 - 89,> 100 - 120,-
Tengah,Tengah Industrial Estate,85 - 89,> 120,-
Tengah,Tengah Industrial Estate,90 & Over,Total*,-
Tengah,Tengah Industrial Estate,90 & Over,≤ 60,-
Tengah,Tengah Industrial Estate,90 & Over,> 60 - 80,-
Tengah,Tengah Industrial Estate,90 & Over,> 80 - 100,-
Tengah,Tengah Industrial Estate,90 & Over,> 100 - 120,-
Tengah,Tengah Industrial Estate,90 & Over,> 120,-
Toa Payoh,Total,Total,Total*,139310
Toa Payoh,Total,Total,≤ 60,12570
Toa Payoh,Total,Total,> 60 - 80,38560
Toa Payoh,Total,Total,> 80 - 100,32510
Toa Payoh,Total,Total,> 100 - 120,28720
Toa Payoh,Total,Total,> 120,25160
Toa Payoh,Total,0 - 4,Total*,6360
Toa Payoh,Total,0 - 4,≤ 60,500
Toa Payoh,Total,0 - 4,> 60 - 80,1140
Toa Payoh,Total,0 - 4,> 80 - 100,2910
Toa Payoh,Total,0 - 4,> 100 - 120,1150
Toa Payoh,Total,0 - 4,> 120,650
Toa Payoh,Total,5 - 9,Total*,6300
Toa Payoh,Total,5 - 9,≤ 60,390
Toa Payoh,Total,5 - 9,> 60 - 80,1130
Toa Payoh,Total,5 - 9,> 80 - 100,2190
Toa Payoh,Total,5 - 9,> 100 - 120,1500
Toa Payoh,Total,5 - 9,> 120,1060
Toa Payoh,Total,10 - 14,Total*,5720
Toa Payoh,Total,10 - 14,≤ 60,370
Toa Payoh,Total,10 - 14,> 60 - 80,1050
Toa Payoh,Total,10 - 14,> 80 - 100,1450
Toa Payoh,Total,10 - 14,> 100 - 120,1550
Toa Payoh,Total,10 - 14,> 120,1280
Toa Payoh,Total,15 - 19,Total*,5800
Toa Payoh,Total,15 - 19,≤ 60,480
Toa Payoh,Total,15 - 19,> 60 - 80,1110
Toa Payoh,Total,15 - 19,> 80 - 100,1160
Toa Payoh,Total,15 - 19,> 100 - 120,1530
Toa Payoh,Total,15 - 19,> 120,1470
Toa Payoh,Total,20 - 24,Total*,6000
Toa Payoh,Total,20 - 24,≤ 60,540
Toa Payoh,Total,20 - 24,> 60 - 80,1300
Toa Payoh,Total,20 - 24,> 80 - 100,1060
Toa Payoh,Total,20 - 24,> 100 - 120,1470
Toa Payoh,Total,20 - 24,> 120,1550
Toa Payoh,Total,25 - 29,Total*,7700
Toa Payoh,Total,25 - 29,≤ 60,700
Toa Payoh,Total,25 - 29,> 60 - 80,2080
Toa Payoh,Total,25 - 29,> 80 - 100,1430
Toa Payoh,Total,25 - 29,> 100 - 120,1690
Toa Payoh,Total,25 - 29,> 120,1750
Toa Payoh,Total,30 - 34,Total*,12240
Toa Payoh,Total,30 - 34,≤ 60,780
Toa Payoh,Total,30 - 34,> 60 - 80,3340
Toa Payoh,Total,30 - 34,> 80 - 100,4330
Toa Payoh,Total,30 - 34,> 100 - 120,2070
Toa Payoh,Total,30 - 34,> 120,1680
Toa Payoh,Total,35 - 39,Total*,11160
Toa Payoh,Total,35 - 39,≤ 60,670
Toa Payoh,Total,35 - 39,> 60 - 80,2850
Toa Payoh,Total,35 - 39,> 80 - 100,4160
Toa Payoh,Total,35 - 39,> 100 - 120,2010
Toa Payoh,Total,35 - 39,> 120,1410
Toa Payoh,Total,40 - 44,Total*,9570
Toa Payoh,Total,40 - 44,≤ 60,620
Toa Payoh,Total,40 - 44,> 60 - 80,2580
Toa Payoh,Total,40 - 44,> 80 - 100,2730
Toa Payoh,Total,40 - 44,> 100 - 120,2170
Toa Payoh,Total,40 - 44,> 120,1430
Toa Payoh,Total,45 - 49,Total*,9510
Toa Payoh,Total,45 - 49,≤ 60,560
Toa Payoh,Total,45 - 49,> 60 - 80,2780
Toa Payoh,Total,45 - 49,> 80 - 100,2260
Toa Payoh,Total,45 - 49,> 100 - 120,2150
Toa Payoh,Total,45 - 49,> 120,1700
Toa Payoh,Total,50 - 54,Total*,9790
Toa Payoh,Total,50 - 54,≤ 60,720
Toa Payoh,Total,50 - 54,> 60 - 80,3020
Toa Payoh,Total,50 - 54,> 80 - 100,1790
Toa Payoh,Total,50 - 54,> 100 - 120,2280
Toa Payoh,Total,50 - 54,> 120,1930
Toa Payoh,Total,55 - 59,Total*,9010
Toa Payoh,Total,55 - 59,≤ 60,860
Toa Payoh,Total,55 - 59,> 60 - 80,2910
Toa Payoh,Total,55 - 59,> 80 - 100,1490
Toa Payoh,Total,55 - 59,> 100 - 120,1930
Toa Payoh,Total,55 - 59,> 120,1760
Toa Payoh,Total,60 - 64,Total*,9440
Toa Payoh,Total,60 - 64,≤ 60,1180
Toa Payoh,Total,60 - 64,> 60 - 80,3040
Toa Payoh,Total,60 - 64,> 80 - 100,1350
Toa Payoh,Total,60 - 64,> 100 - 120,1820
Toa Payoh,Total,60 - 64,> 120,1970
Toa Payoh,Total,65 - 69,Total*,9240
Toa Payoh,Total,65 - 69,≤ 60,1280
Toa Payoh,Total,65 - 69,> 60 - 80,2970
Toa Payoh,Total,65 - 69,> 80 - 100,1230
Toa Payoh,Total,65 - 69,> 100 - 120,1820
Toa Payoh,Total,65 - 69,> 120,1850
Toa Payoh,Total,70 - 74,Total*,7690
Toa Payoh,Total,70 - 74,≤ 60,1120
Toa Payoh,Total,70 - 74,> 60 - 80,2410
Toa Payoh,Total,70 - 74,> 80 - 100,1090
Toa Payoh,Total,70 - 74,> 100 - 120,1420
Toa Payoh,Total,70 - 74,> 120,1510
Toa Payoh,Total,75 - 79,Total*,5760
Toa Payoh,Total,75 - 79,≤ 60,800
Toa Payoh,Total,75 - 79,> 60 - 80,1960
Toa Payoh,Total,75 - 79,> 80 - 100,810
Toa Payoh,Total,75 - 79,> 100 - 120,990
Toa Payoh,Total,75 - 79,> 120,1000
Toa Payoh,Total,80 - 84,Total*,4100
Toa Payoh,Total,80 - 84,≤ 60,510
Toa Payoh,Total,80 - 84,> 60 - 80,1510
Toa Payoh,Total,80 - 84,> 80 - 100,550
Toa Payoh,Total,80 - 84,> 100 - 120,650
Toa Payoh,Total,80 - 84,> 120,640
Toa Payoh,Total,85 - 89,Total*,2500
Toa Payoh,Total,85 - 89,≤ 60,330
Toa Payoh,Total,85 - 89,> 60 - 80,930
Toa Payoh,Total,85 - 89,> 80 - 100,350
Toa Payoh,Total,85 - 89,> 100 - 120,340
Toa Payoh,Total,85 - 89,> 120,320
Toa Payoh,Total,90 & Over,Total*,1440
Toa Payoh,Total,90 & Over,≤ 60,170
Toa Payoh,Total,90 & Over,> 60 - 80,460
Toa Payoh,Total,90 & Over,> 80 - 100,190
Toa Payoh,Total,90 & Over,> 100 - 120,180
Toa Payoh,Total,90 & Over,> 120,220
Toa Payoh,Bidadari,Total,Total*,7550
Toa Payoh,Bidadari,Total,≤ 60,900
Toa Payoh,Bidadari,Total,> 60 - 80,1310
Toa Payoh,Bidadari,Total,> 80 - 100,3900
Toa Payoh,Bidadari,Total,> 100 - 120,1380
Toa Payoh,Bidadari,Total,> 120,60
Toa Payoh,Bidadari,0 - 4,Total*,930
Toa Payoh,Bidadari,0 - 4,≤ 60,20
Toa Payoh,Bidadari,0 - 4,> 60 - 80,120
Toa Payoh,Bidadari,0 - 4,> 80 - 100,600
Toa Payoh,Bidadari,0 - 4,> 100 - 120,180
Toa Payoh,Bidadari,0 - 4,> 120,-
Toa Payoh,Bidadari,5 - 9,Total*,550
Toa Payoh,Bidadari,5 - 9,≤ 60,20
Toa Payoh,Bidadari,5 - 9,> 60 - 80,50
Toa Payoh,Bidadari,5 - 9,> 80 - 100,330
Toa Payoh,Bidadari,5 - 9,> 100 - 120,140
Toa Payoh,Bidadari,5 - 9,> 120,10
Toa Payoh,Bidadari,10 - 14,Total*,280
Toa Payoh,Bidadari,10 - 14,≤ 60,10
Toa Payoh,Bidadari,10 - 14,> 60 - 80,20
Toa Payoh,Bidadari,10 - 14,> 80 - 100,130
Toa Payoh,Bidadari,10 - 14,> 100 - 120,110
Toa Payoh,Bidadari,10 - 14,> 120,10
Toa Payoh,Bidadari,15 - 19,Total*,170
Toa Payoh,Bidadari,15 - 19,≤ 60,10
Toa Payoh,Bidadari,15 - 19,> 60 - 80,20
Toa Payoh,Bidadari,15 - 19,> 80 - 100,90
Toa Payoh,Bidadari,15 - 19,> 100 - 120,40
Toa Payoh,Bidadari,15 - 19,> 120,10
Toa Payoh,Bidadari,20 - 24,Total*,140
Toa Payoh,Bidadari,20 - 24,≤ 60,30
Toa Payoh,Bidadari,20 - 24,> 60 - 80,10
Toa Payoh,Bidadari,20 - 24,> 80 - 100,70
Toa Payoh,Bidadari,20 - 24,> 100 - 120,30
Toa Payoh,Bidadari,20 - 24,> 120,-
Toa Payoh,Bidadari,25 - 29,Total*,290
Toa Payoh,Bidadari,25 - 29,≤ 60,20
Toa Payoh,Bidadari,25 - 29,> 60 - 80,80
Toa Payoh,Bidadari,25 - 29,> 80 - 100,150
Toa Payoh,Bidadari,25 - 29,> 100 - 120,40
Toa Payoh,Bidadari,25 - 29,> 120,-
Toa Payoh,Bidadari,30 - 34,Total*,1730
Toa Payoh,Bidadari,30 - 34,≤ 60,40
Toa Payoh,Bidadari,30 - 34,> 60 - 80,340
Toa Payoh,Bidadari,30 - 34,> 80 - 100,1130
Toa Payoh,Bidadari,30 - 34,> 100 - 120,220
Toa Payoh,Bidadari,30 - 34,> 120,-
Toa Payoh,Bidadari,35 - 39,Total*,1100
Toa Payoh,Bidadari,35 - 39,≤ 60,50
Toa Payoh,Bidadari,35 - 39,> 60 - 80,190
Toa Payoh,Bidadari,35 - 39,> 80 - 100,650
Toa Payoh,Bidadari,35 - 39,> 100 - 120,200
Toa Payoh,Bidadari,35 - 39,> 120,10
Toa Payoh,Bidadari,40 - 44,Total*,590
Toa Payoh,Bidadari,40 - 44,≤ 60,30
Toa Payoh,Bidadari,40 - 44,> 60 - 80,100
Toa Payoh,Bidadari,40 - 44,> 80 - 100,290
Toa Payoh,Bidadari,40 - 44,> 100 - 120,160
Toa Payoh,Bidadari,40 - 44,> 120,10
Toa Payoh,Bidadari,45 - 49,Total*,350
Toa Payoh,Bidadari,45 - 49,≤ 60,30
Toa Payoh,Bidadari,45 - 49,> 60 - 80,60
Toa Payoh,Bidadari,45 - 49,> 80 - 100,170
Toa Payoh,Bidadari,45 - 49,> 100 - 120,90
Toa Payoh,Bidadari,45 - 49,> 120,-
Toa Payoh,Bidadari,50 - 54,Total*,270
Toa Payoh,Bidadari,50 - 54,≤ 60,40
Toa Payoh,Bidadari,50 - 54,> 60 - 80,60
Toa Payoh,Bidadari,50 - 54,> 80 - 100,110
Toa Payoh,Bidadari,50 - 54,> 100 - 120,50
Toa Payoh,Bidadari,50 - 54,> 120,10
Toa Payoh,Bidadari,55 - 59,Total*,210
Toa Payoh,Bidadari,55 - 59,≤ 60,70
Toa Payoh,Bidadari,55 - 59,> 60 - 80,50
Toa Payoh,Bidadari,55 - 59,> 80 - 100,60
Toa Payoh,Bidadari,55 - 59,> 100 - 120,30
Toa Payoh,Bidadari,55 - 59,> 120,-
Toa Payoh,Bidadari,60 - 64,Total*,280
Toa Payoh,Bidadari,60 - 64,≤ 60,140
Toa Payoh,Bidadari,60 - 64,> 60 - 80,60
Toa Payoh,Bidadari,60 - 64,> 80 - 100,50
Toa Payoh,Bidadari,60 - 64,> 100 - 120,30
Toa Payoh,Bidadari,60 - 64,> 120,-
Toa Payoh,Bidadari,65 - 69,Total*,270
Toa Payoh,Bidadari,65 - 69,≤ 60,160
Toa Payoh,Bidadari,65 - 69,> 60 - 80,70
Toa Payoh,Bidadari,65 - 69,> 80 - 100,30
Toa Payoh,Bidadari,65 - 69,> 100 - 120,20
Toa Payoh,Bidadari,65 - 69,> 120,-
Toa Payoh,Bidadari,70 - 74,Total*,200
Toa Payoh,Bidadari,70 - 74,≤ 60,120
Toa Payoh,Bidadari,70 - 74,> 60 - 80,40
Toa Payoh,Bidadari,70 - 74,> 80 - 100,20
Toa Payoh,Bidadari,70 - 74,> 100 - 120,20
Toa Payoh,Bidadari,70 - 74,> 120,-
Toa Payoh,Bidadari,75 - 79,Total*,110
Toa Payoh,Bidadari,75 - 79,≤ 60,70
Toa Payoh,Bidadari,75 - 79,> 60 - 80,10
Toa Payoh,Bidadari,75 - 79,> 80 - 100,10
Toa Payoh,Bidadari,75 - 79,> 100 - 120,20
Toa Payoh,Bidadari,75 - 79,> 120,-
Toa Payoh,Bidadari,80 - 84,Total*,50
Toa Payoh,Bidadari,80 - 84,≤ 60,20
Toa Payoh,Bidadari,80 - 84,> 60 - 80,10
Toa Payoh,Bidadari,80 - 84,> 80 - 100,10
Toa Payoh,Bidadari,80 - 84,> 100 - 120,10
Toa Payoh,Bidadari,80 - 84,> 120,-
